127.0.0.1 - - [20/Sep/2023:09:08:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:08:49 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:09:17 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:10:46 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:11:19 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:19:27 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:24:05 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:24:12 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:25:01 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:27:21 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:33:37 +0900] "GET /client/html/ex07_heading.html HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:35:35 +0900] "GET /client/html/ex06_p.html HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:38:28 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 3683
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:10 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 200 3769
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:46 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:47 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:47 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:47 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:48 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:41:48 +0900] "GET /client/html/ex08_hr.html HTTP/1.1" 304 -
